"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
5	4	8	2	3	7	6	9	9	7	3.3	8.26666666666667	7.88888888888889	10.8666666666667	9.65555555555556	12.9	11.0666666666667	15.1111111111111	16.1111111111111	11.3
15	22	25	29	27	20	15	26	22	26	13.1	18.4888888888889	15.6666666666667	18.6333333333333	16.8	13.7333333333333	16.5666666666667	13.0555555555556	11.4555555555556	3.5
11	15	15	15	14	15	9	11	13	16	20.5	27.4888888888889	39.8333333333333	47.9	61.4777777777778	60.2777777777778	55.2666666666667	88.5555555555555	89.9222222222222	84.8
113	97	91	102	89	124	105	98	111	77	97.4	98.8555555555556	95.6666666666667	86.6	86.7444444444444	80.1444444444444	60.4666666666667	63.5555555555556	47.9555555555556	31.3
23	29	26	19	16	23	18	23	14	25	23.7	41.9333333333333	51.5	65.4333333333333	69.3	73.3666666666667	83.7	108.611111111111	123.822222222222	149.7
38	34	23	39	31	29	28	31	31	21	30	28.7111111111111	27.2777777777778	16.9333333333333	14.4333333333333	13.3	10.9	5.88888888888889	6.34444444444444	5.2
9	5	4	8	4	7	4	6	7	5	2	3.94444444444444	1.55555555555556	3.56666666666667	9.08888888888889	6.08888888888889	8.63333333333333	5.88888888888889	3.32222222222222	8.6
88	66	96	71	59	52	83	70	74	60	62.2	53.4777777777778	40.7222222222222	40.2666666666667	51	28.7	25.9333333333333	23.2222222222222	14.3888888888889	6.3
4	0	1	4	4	2	2	3	1	4	3.6	2.43333333333333	1.44444444444444	3.53333333333333	1.08888888888889	0.911111111111111	1.1	0.555555555555556	0	0.4
5	13	5	7	5	8	12	10	9	10	10.3	12.5111111111111	13.8888888888889	18.2666666666667	17.5666666666667	21.7	19.0333333333333	26.7777777777778	25.0333333333333	47
18	22	15	28	18	24	16	32	15	17	39.2	47.6222222222222	86.9444444444444	95.7333333333333	95.3333333333333	144.488888888889	169.4	159.333333333333	183.522222222222	155.3
